timestamp_ns,w_x,w_y,w_z,a_x,a_y,a_z
148418461825,-0.004791260,0.012776692,0.001330905,0.764947474,-9.622296333,0.514753342
148419722737,-0.005855984,0.015704684,-0.005323622,0.776918471,-9.634267807,0.578199744
148420983650,0.001064724,0.012776692,-0.007719252,0.822408319,-9.649829865,0.560243189
148422244525,-0.004258898,0.011978149,-0.002927992,0.785298169,-9.647436142,0.526724398
148423505412,-0.007719252,0.018366495,-0.002661811,0.796072066,-9.673771858,0.610521436
148424766325,-0.005323622,0.017567953,-0.003194173,0.792480767,-9.682151794,0.545877993
148426027212,-0.000798543,0.012776692,-0.001064724,0.800860465,-9.674968719,0.500388145
148427288112,-0.001330905,0.010913425,-0.003460354,0.802057564,-9.637859344,0.503979445
148428549000,-0.007985433,0.014373779,-0.000266181,0.808043063,-9.654618263,0.488417149
148429809925,-0.005589803,0.012510511,0.001863268,0.849941611,-9.651026726,0.535104096
148431070800,-0.003992716,0.014373779,0.000266181,0.830788016,-9.682151794,0.513556242
148432331687,-0.004791260,0.010647244,0.001863268,0.828393817,-9.657012939,0.581791043
148433592587,-0.008251614,0.012244331,0.000532362,0.831985116,-9.658209801,0.523133099
148434853500,-0.009316338,0.010381063,0.001863268,0.831985116,-9.657012939,0.557848990
148436114400,-0.007985433,0.007186890,0.002661811,0.834379315,-9.653421402,0.575805485
148437375287,-0.008783977,0.016503228,0.002927992,0.859518409,-9.697713852,0.581791043
148438636175,-0.009848701,0.014373779,0.007186890,0.827196717,-9.668983459,0.509964943
148439897062,-0.011445787,0.014373779,0.005855984,0.845153213,-9.624691010,0.553060591
148441157975,-0.006654528,0.011179605,0.002395630,0.846350312,-9.621099472,0.554257691
148442418887,-0.009316338,0.007186890,0.009050157,0.811634362,-9.654618263,0.524330199
148443679775,-0.009316338,0.005323622,0.010913425,0.873883605,-9.664195061,0.499191046
148444940662,-0.008251614,0.004258898,0.008783977,0.841561913,-9.617507935,0.544680893
148446201562,-0.007453070,0.009582520,0.008783977,0.843956113,-9.651026726,0.535104096
148447462462,-0.004258898,0.008517795,0.007453070,0.836773515,-9.647436142,0.497993946
148448723350,-0.006654528,0.003726535,0.001064724,0.843956113,-9.672574997,0.563834488
148449984262,-0.007719252,0.006920708,0.007719252,0.846350312,-9.635464668,0.520738900
148451245150,-0.012244331,0.005323622,0.007186890,0.873883605,-9.668983459,0.523133099
148452506037,-0.011711968,0.002395630,0.001863268,0.837970614,-9.653421402,0.529118598
148453766950,-0.007985433,0.002661811,0.005057441,0.855927110,-9.615114212,0.497993946
148455027837,-0.009848701,0.008517795,0.003726535,0.864306808,-9.627084732,0.526724398
148456288762,-0.007719252,0.007719252,0.007985433,0.848744512,-9.645041466,0.529118598
148457549637,-0.009050157,0.002395630,0.007719252,0.852335811,-9.657012939,0.512359142
148458810525,-0.012244331,0.004258898,0.004791260,0.908599555,-9.619902611,0.506373644
148460071425,-0.011711968,0.004258898,0.003726535,0.858321309,-9.625887871,0.502782345
148461332325,-0.007719252,0.001597087,0.002661811,0.822408319,-9.616311073,0.537498295
148462593225,-0.015970865,-0.000798543,0.001064724,0.828393817,-9.642647743,0.513556242
148463854112,-0.013575235,-0.002927992,0.003992716,0.842759013,-9.621099472,0.535104096
148465115012,-0.006122165,-0.005323622,-0.001597087,0.884657562,-9.692925453,0.503979445
148466375900,-0.002927992,-0.009582520,-0.000266181,0.851138711,-9.628282547,0.487220049
148467636812,-0.005855984,-0.003992716,0.002661811,0.818816960,-9.635464668,0.508767843
148468897700,-0.006388346,-0.005057441,0.005855984,0.818816960,-9.636661530,0.493205547
148470158600,-0.009848701,-0.006920708,0.004525078,0.835576415,-9.646238327,0.465672225
148471419512,-0.011179605,-0.005057441,0.002395630,0.827196717,-9.630676270,0.503979445
148472680400,-0.012244331,-0.004791260,0.002927992,0.828393817,-9.636661530,0.524330199
148473941300,-0.008251614,-0.007719252,0.001330905,0.810437262,-9.582792282,0.511162043
148475202175,-0.009316338,-0.007985433,-0.002129449,0.811634362,-9.633070946,0.501585245
148476463087,-0.010913425,-0.008251614,-0.003194173,0.839167714,-9.634267807,0.500388145
148477723975,-0.009316338,-0.009582520,0.001330905,0.809240162,-9.621099472,0.517147601
148478984862,-0.008783977,-0.007453070,0.003992716,0.833182216,-9.641449928,0.486022949
148480245762,-0.008783977,-0.011445787,-0.001330905,0.888248861,-9.612719536,0.492008448
148481506662,-0.006920708,-0.014107598,-0.000798543,0.806845963,-9.598354340,0.468066424
148482767562,-0.007453070,-0.013575235,0.002661811,0.781706870,-9.615114212,0.521935999
148484028475,-0.010381063,-0.010647244,0.003194173,0.825999618,-9.604340553,0.483628750
148485289350,-0.009316338,-0.012244331,0.000798543,0.809240162,-9.582792282,0.501585245
148486550250,-0.008517795,-0.016237047,0.003194173,0.842759013,-9.585186958,0.495599747
148487811150,-0.009582520,-0.015438504,-0.000798543,0.806845963,-9.615114212,0.500388145
148489072050,-0.006920708,-0.015438504,0.000798543,0.805648863,-9.617507935,0.453701228
148490332937,-0.012510511,-0.014639961,0.005323622,0.816422760,-9.603142738,0.484825850
148491593837,-0.011978149,-0.012244331,-0.001330905,0.842759013,-9.594763756,0.445321530
148492854725,-0.010913425,-0.014906141,-0.003726535,0.805648863,-9.593565941,0.466869324
148494115625,-0.012510511,-0.016237047,-0.007719252,0.814028561,-9.601945877,0.468066424
148495376525,-0.011978149,-0.019165039,-0.005057441,0.809240162,-9.594763756,0.527921498
148496637425,-0.003194173,-0.018366495,0.001330905,0.806845963,-9.581595421,0.501585245
148497898312,-0.011445787,-0.018100314,-0.000266181,0.790086567,-9.597157478,0.465672225
148499159212,-0.013042874,-0.015438504,0.000266181,0.802057564,-9.601945877,0.492008448
148500420112,-0.007186890,-0.017834133,0.001064724,0.787692368,-9.645041466,0.494402647
148501681000,-0.007453070,-0.017301772,-0.001064724,0.840364814,-9.640253067,0.482431650
148502941912,-0.009582520,-0.014373779,0.000798543,0.814028561,-9.639056206,0.515950441
148504202800,-0.008251614,-0.011445787,-0.005323622,0.772130072,-9.642647743,0.496796846
148505463712,-0.008251614,-0.014639961,-0.005057441,0.804451764,-9.634267807,0.492008448
148506724600,-0.012244331,-0.018898858,-0.002927992,0.750582218,-9.647436142,0.456095427
148507985475,-0.009582520,-0.017834133,0.000798543,0.782903969,-9.619902611,0.527921498
148509246375,-0.008251614,-0.013575235,-0.000266181,0.792480767,-9.646238327,0.508767843
148510507300,-0.006122165,-0.014107598,-0.001064724,0.803254664,-9.666589737,0.482431650
148511768175,-0.002661811,-0.014107598,-0.000798543,0.761356175,-9.652224541,0.490811348
148513029087,-0.009582520,-0.013309055,-0.001330905,0.794874966,-9.684545517,0.508767843
148514289987,-0.010114881,-0.011711968,-0.001597087,0.788889468,-9.652224541,0.556651890
148515550862,-0.006654528,-0.019963583,-0.001597087,0.811634362,-9.695320129,0.511162043
148516811762,-0.008517795,-0.021560669,0.000266181,0.804451764,-9.678560257,0.550666392
148518072662,-0.009316338,-0.018898858,0.002661811,0.786495268,-9.666589737,0.517147601
148519333562,-0.007453070,-0.014639961,-0.001064724,0.784101069,-9.674968719,0.527921498
148520594450,-0.005057441,-0.010647244,0.002129449,0.784101069,-9.619902611,0.527921498
148521855362,-0.009582520,-0.012776692,0.001863268,0.770932972,-9.604340553,0.581791043
148523116250,-0.009848701,-0.011179605,0.001064724,0.796072066,-9.612719536,0.489614248
148524377137,-0.007453070,-0.017035590,0.006654528,0.792480767,-9.605537415,0.506373644
148525638050,-0.011179605,-0.014906141,0.006122165,0.784101069,-9.623494148,0.494402647
148526898925,-0.010913425,-0.013575235,0.006654528,0.800860465,-9.637859344,0.489614248
148528159825,-0.007453070,-0.012244331,0.006122165,0.809240162,-9.598354340,0.478840351
148529420737,-0.008517795,-0.017834133,0.008251614,0.793677866,-9.570821762,0.436941803
148530681650,-0.011179605,-0.019431220,0.007453070,0.767341673,-9.621099472,0.471657753
148531942525,-0.008783977,-0.017567953,0.007985433,0.785298169,-9.662998199,0.466869324
148533203412,-0.006920708,-0.011711968,0.005855984,0.815225661,-9.653421402,0.482431650
148534464312,-0.006122165,-0.013575235,0.010381063,0.755370617,-9.643844604,0.456095427
148535725212,-0.007186890,-0.012244331,0.011978149,0.781706870,-9.641449928,0.458489627
148536986125,-0.006122165,-0.014373779,0.010114881,0.811634362,-9.659406662,0.445321530
148538247012,-0.007186890,-0.016237047,0.007453070,0.757764816,-9.651026726,0.462080926
148539507912,-0.006654528,-0.018100314,0.007719252,0.763750374,-9.651026726,0.464475125
148540768800,-0.007453070,-0.018366495,0.006654528,0.787692368,-9.676166534,0.490811348
148542029712,-0.005589803,-0.019963583,0.010647244,0.761356175,-9.683348656,0.481234550
148543290587,-0.004258898,-0.015704684,0.015172322,0.749385118,-9.649829865,0.446518630
148544551487,-0.009050157,-0.016769409,0.013575235,0.774524271,-9.690531731,0.470460624
148545812387,-0.006388346,-0.020762125,0.009848701,0.757764816,-9.724050522,0.506373644
148547073262,-0.006654528,-0.018898858,0.010913425,0.757764816,-9.706093788,0.511162043
148548334187,-0.005057441,-0.021294488,0.011445787,0.809240162,-9.706093788,0.458489627
148549595075,-0.010647244,-0.017035590,0.007719252,0.794874966,-9.655815125,0.500388145
148550855962,-0.008517795,-0.022093032,0.010913425,0.757764816,-9.689333916,0.447715729
148552116887,-0.006654528,-0.017301772,0.012244331,0.823605418,-9.714473724,0.420182407
148553377762,-0.004258898,-0.017035590,0.013042874,0.835576415,-9.682151794,0.452504128
148554638662,-0.006654528,-0.019431220,0.011445787,0.842759013,-9.694122314,0.494402647
148555899562,-0.009050157,-0.021294488,0.017035590,0.804451764,-9.677363396,0.489614248
148557160462,-0.008783977,-0.017834133,0.016769409,0.848744512,-9.652224541,0.508767843
148558421362,-0.009050157,-0.016769409,0.010913425,0.835576415,-9.655815125,0.466869324
148559682250,-0.006654528,-0.017567953,0.014107598,0.822408319,-9.676166534,0.459686726
148560943162,-0.008783977,-0.015704684,0.011711968,0.790086567,-9.674968719,0.457292527
148562204037,-0.006920708,-0.018100314,0.012510511,0.852335811,-9.686940193,0.492008448
148563464925,-0.004525078,-0.022093032,0.012244331,0.833182216,-9.635464668,0.500388145
148564725825,-0.008251614,-0.025021022,0.009582520,0.797269166,-9.633070946,0.468066424
148565986725,-0.010647244,-0.024488661,0.006654528,0.817619860,-9.623494148,0.483628750
148567247625,-0.005057441,-0.021560669,0.005589803,0.773327172,-9.633070946,0.444124430
148568508525,-0.004258898,-0.022891574,0.001330905,0.780509770,-9.636661530,0.463278025
148569769425,-0.005057441,-0.023956299,0.004258898,0.784101069,-9.629479408,0.482431650
148571030300,-0.010913425,-0.020495944,0.000532362,0.790086567,-9.585186958,0.477643251
148572291225,-0.010381063,-0.019165039,0.002395630,0.784101069,-9.576807022,0.500388145
148573552125,-0.006388346,-0.015438504,-0.001330905,0.763750374,-9.607931137,0.482431650
148574813000,-0.006920708,-0.021294488,-0.001863268,0.741005421,-9.576807022,0.472854853
148576073900,-0.007985433,-0.022359211,-0.003992716,0.785298169,-9.581595421,0.495599747
148577334812,-0.009050157,-0.015970865,-0.003194173,0.762553275,-9.581595421,0.428562105
148578595687,-0.004258898,-0.016503228,-0.006388346,0.774524271,-9.569623947,0.459686726
148579856600,-0.001330905,-0.022625392,-0.009316338,0.754173517,-9.561244965,0.434547603
148581117500,-0.006388346,-0.017301772,-0.014639961,0.756567717,-9.562441826,0.422576606
148582378387,-0.002395630,-0.019165039,-0.017567953,0.744596720,-9.583989143,0.456095427
148583639275,-0.002661811,-0.021028306,-0.015970865,0.748188019,-9.556456566,0.471657753
148584900175,-0.003194173,-0.019165039,-0.013309055,0.736217022,-9.549273491,0.457292527
148586161087,0.000000000,-0.014906141,-0.013841417,0.760159075,-9.595960617,0.441730231
148587421975,0.001064724,-0.013309055,-0.017567953,0.764947474,-9.572018623,0.480037451
148588682875,0.000532362,-0.018632676,-0.013841417,0.767341673,-9.581595421,0.469263524
148589943787,0.001064724,-0.014906141,-0.013841417,0.786495268,-9.549273491,0.470460624
148591204650,0.003992716,-0.021294488,-0.016769409,0.779312670,-9.533711433,0.472854853
148592465562,0.004258898,-0.018100314,-0.010647244,0.762553275,-9.539696693,0.469263524
148593726462,0.003726535,-0.015172322,-0.014107598,0.774524271,-9.516951561,0.519541800
148594987350,0.002395630,-0.017834133,-0.015438504,0.784101069,-9.501389503,0.489614248
148596248262,0.004525078,-0.014906141,-0.011445787,0.793677866,-9.507374763,0.447715729
148597509162,0.007453070,-0.010647244,-0.013042874,0.804451764,-9.481039047,0.483628750
148598770037,0.011179605,-0.012510511,-0.010913425,0.778115571,-9.476250648,0.480037451
148600030925,0.007985433,-0.015970865,-0.011711968,0.800860465,-9.500192642,0.517147601
148601291837,0.009316338,-0.016503228,-0.007719252,0.835576415,-9.463082314,0.483628750
148602552725,0.009582520,-0.009316338,-0.011978149,0.803254664,-9.461885452,0.464475125
148603813625,0.013309055,-0.013042874,-0.009582520,0.798466265,-9.484629631,0.452504128
148605074525,0.012776692,-0.013575235,-0.007453070,0.815225661,-9.422380447,0.435744703
148606335412,0.015172322,-0.015970865,-0.007453070,0.809240162,-9.440337181,0.435744703
148607596325,0.018632676,-0.015172322,-0.004525078,0.834379315,-9.472659111,0.459686726
148608857225,0.018366495,-0.016237047,-0.005323622,0.812831461,-9.470264435,0.469263524
148610118100,0.016237047,-0.015438504,-0.011978149,0.797269166,-9.428366661,0.454898328
148611379000,0.017301772,-0.020762125,-0.007186890,0.836773515,-9.415198326,0.422576606
148612639900,0.021560669,-0.015438504,-0.007985433,0.814028561,-9.459490776,0.454898328
148613900800,0.023956299,-0.015172322,-0.011445787,0.855927110,-9.424775124,0.521935999
148615161700,0.027416652,-0.013042874,-0.009848701,0.869095206,-9.463082314,0.412999809
148616422587,0.028481377,-0.011978149,-0.006654528,0.790086567,-9.442731857,0.367509961
148617683475,0.031143188,-0.017567953,-0.005855984,0.810437262,-9.482235909,0.412999809
148618944375,0.027949015,-0.017567953,-0.010381063,0.837970614,-9.558850288,0.464475125
148620205275,0.029279921,-0.021028306,-0.010647244,0.812831461,-9.542091370,0.398634583
148621466162,0.035135906,-0.023956299,-0.011711968,0.799663365,-9.543288231,0.378283858
148622727050,0.034071181,-0.019697402,-0.010114881,0.800860465,-9.572018623,0.424970806
148623987950,0.039927166,-0.021294488,-0.013841417,0.773327172,-9.625887871,0.408211380
