timestamp_ns,w_x,w_y,w_z,a_x,a_y,a_z
5056371230380,-0.558771014,0.194383994,0.138825998,9.913190842,-1.033099055,1.042673945
5056372477358,-0.556640029,0.193451002,0.136828005,9.934141159,-1.033099055,1.051054001
5056373724338,-0.554507971,0.192385003,0.133897007,9.941922188,-1.037886977,1.051653028
5056374971318,-0.553041995,0.191320002,0.131764993,9.949104309,-1.042076945,1.052850008
5056376218296,-0.551310003,0.191185996,0.130432993,9.964068413,-1.036689997,1.054046988
5056377465328,-0.548511982,0.191320002,0.128168002,9.971250534,-1.039682984,1.049857020
5056378712306,-0.546513975,0.190119997,0.126168996,9.974244118,-1.049857974,1.044469953
5056379959286,-0.544649005,0.188655004,0.124171004,9.985017776,-1.066617012,1.054644942
5056381206264,-0.542117000,0.188388005,0.121505998,9.988010406,-1.070806980,1.062425971
5056382453297,-0.539453030,0.188122004,0.119640999,9.989207268,-1.067813993,1.058236957
5056383700275,-0.537586987,0.187589005,0.117775999,9.986812592,-1.080983043,1.063624024
5056384947255,-0.536122024,0.187455997,0.113912001,9.980828285,-1.082180023,1.063624024
5056386194235,-0.534523010,0.186655998,0.111381002,9.981426239,-1.082777977,1.061828017
5056387441213,-0.531858981,0.185057998,0.109516002,9.968856812,-1.083974957,1.068411946
5056388688245,-0.528527975,0.183991998,0.106983997,9.951498985,-1.083377004,1.073199987
5056389935223,-0.526795983,0.183192000,0.105118997,9.953293800,-1.097741961,1.077389956
5056391182203,-0.525596976,0.182659000,0.103919998,9.955089569,-1.107318997,1.077389956
5056392429181,-0.523464978,0.181992993,0.101921000,9.941323280,-1.107916951,1.081580043
5056393676213,-0.520799994,0.181593999,0.099390000,9.933542252,-1.112107038,1.092952967
5056394923191,-0.518401980,0.181593999,0.096725002,9.931147575,-1.120486975,1.085770011
5056396170171,-0.516537011,0.180926993,0.093528003,9.918578148,-1.122881055,1.083974004
5056397417151,-0.514937997,0.179728001,0.091528997,9.920972824,-1.118093014,1.100733995
5056398664129,-0.512407005,0.178130001,0.089663997,9.929351807,-1.117493987,1.107318044
5056399911162,-0.509476006,0.177330002,0.087665997,9.919775963,-1.125275016,1.109112978
5056401158140,-0.507211030,0.176264003,0.084734999,9.913190842,-1.130661964,1.109112978
5056402405120,-0.505344987,0.174798995,0.081404001,9.913789749,-1.128867030,1.103127956
5056403652098,-0.502681017,0.173998997,0.079139002,9.916783333,-1.127071023,1.103726029
5056404899130,-0.500815988,0.173199996,0.078073002,9.926360130,-1.127668977,1.110311031
5056406146108,-0.497750998,0.172933996,0.076208003,9.920373917,-1.134253979,1.112704992
5056407393088,-0.494020998,0.172133997,0.074343003,9.907805443,-1.133056045,1.106121063
5056408640068,-0.492689013,0.170935005,0.072610997,9.909002304,-1.125275016,1.110908985
5056409887046,-0.490956992,0.170002997,0.070211999,9.907805443,-1.132457972,1.112704992
5056411134078,-0.488691986,0.169202998,0.068480000,9.904212952,-1.140239000,1.103726029
5056412381056,-0.486959994,0.168669999,0.066748001,9.897628784,-1.135450959,1.102529049
5056413628036,-0.483628988,0.168537006,0.064750001,9.892841339,-1.131260991,1.112105966
5056414875014,-0.480830997,0.167603999,0.062751003,9.895833969,-1.143231988,1.119886994
5056416122047,-0.478832006,0.166672006,0.061019000,9.895833969,-1.149816036,1.115098953
5056417369025,-0.476034999,0.165606007,0.059420999,9.886257172,-1.159392953,1.113302946
5056418616005,-0.474036008,0.164673001,0.056889001,9.879074097,-1.167173982,1.113901973
5056419862985,-0.472171009,0.164274007,0.054490998,9.873686790,-1.164180994,1.118690014
5056421109963,-0.469906002,0.163607001,0.053424999,9.859920502,-1.170765042,1.117493033
5056422356995,-0.467640996,0.162542000,0.052359000,9.851540565,-1.168370962,1.107915998
5056423603973,-0.465375990,0.161476001,0.051027000,9.843160629,-1.174955010,1.102529049
5056424852932,-0.463111013,0.160009995,0.048362002,9.828197479,-1.182736039,1.101930976
5056426097931,-0.461113006,0.159877002,0.045830999,9.822810173,-1.187525034,1.109112978
5056427344963,-0.459381014,0.159476995,0.043965999,9.810838699,-1.185729027,1.122282028
5056428591941,-0.456849009,0.158012003,0.041967001,9.789890289,-1.184532046,1.117493033
5056429838921,-0.454050988,0.157212004,0.040369000,9.774926186,-1.190516949,1.114500046
5056431085902,-0.451254010,0.156545997,0.040102001,9.754575729,-1.194707036,1.117493033
5056432332880,-0.448722005,0.154946998,0.038369998,9.742605209,-1.200693011,1.111508012
5056433579912,-0.446990013,0.153881997,0.036371998,9.727042198,-1.198897004,1.115697026
5056434826890,-0.444326013,0.152949005,0.035439000,9.710881233,-1.192911029,1.123479009
5056436073870,-0.441661000,0.151883006,0.034639999,9.716267586,-1.193510056,1.116296053
5056437320848,-0.439662993,0.150417998,0.033307001,9.706092834,-1.202487946,1.118092060
5056438567880,-0.437263995,0.148952007,0.032108001,9.699508667,-1.197700024,1.115697026
5056439814858,-0.434599996,0.148686007,0.031442001,9.701305389,-1.196503043,1.087566018
5056441061838,-0.432067990,0.147753000,0.030509001,9.692924500,-1.201290965,1.080981970
5056442308816,-0.430070013,0.146154001,0.029177001,9.684544563,-1.192312956,1.079784036
5056443555796,-0.427805007,0.145088002,0.028245000,9.681551933,-1.183335066,1.070207953
5056444802828,-0.424340993,0.143490002,0.026912000,9.683946609,-1.191115975,1.074995995
5056446049806,-0.421409994,0.141490996,0.025979999,9.685144424,-1.195306063,1.074995995
5056447296787,-0.420343995,0.140424997,0.025580000,9.684544563,-1.179743052,1.076192975
5056448543765,-0.418345988,0.139226004,0.024646999,9.675566673,-1.177947998,1.072003007
5056449790797,-0.416081011,0.137493998,0.023181999,9.668983459,-1.177348971,1.062425971
5056451037775,-0.414081991,0.136427999,0.021983000,9.674369812,-1.167173982,1.054644942
5056452284755,-0.412084013,0.134696007,0.020517001,9.673770905,-1.156399965,1.055243969
5056453531733,-0.410750985,0.133629993,0.019184999,9.667186737,-1.157597065,1.057638049
5056454778765,-0.408753008,0.133230999,0.018385001,9.654019356,-1.172561049,1.045068979
5056456025745,-0.407020986,0.131764993,0.018385001,9.643843651,-1.171363950,1.043272972
5056457272723,-0.405422002,0.129767001,0.017053001,9.637260437,-1.163583040,1.045068979
5056458519703,-0.403557003,0.128300995,0.015321000,9.630676270,-1.174355984,1.034294963
5056459766681,-0.402090997,0.127234995,0.015055000,9.625288963,-1.176751018,1.034294963
5056461013713,-0.401158988,0.126435995,0.014255000,9.615712166,-1.176151991,1.040279984
5056462260691,-0.399825990,0.125902995,0.013856000,9.609725952,-1.173159003,1.034294963
5056463507672,-0.397561014,0.124038003,0.012523000,9.610923767,-1.166574955,1.024718046
