timestamp_ns,tx,ty,tz,qx,qy,qz,qw
5057195274000,0.846816000,2.262871000,0.135431000,0.211467250,0.830001985,-0.512754871,-0.058828124
5057195407000,0.846822000,2.262848000,0.135431000,0.211461089,0.830004761,-0.512752690,-0.058830130
5057196654000,0.846875000,2.262631000,0.135429000,0.211403615,0.830031656,-0.512730937,-0.058846809
5057197901000,0.846929000,2.262413000,0.135426000,0.211346281,0.830060415,-0.512706434,-0.058860590
5057199148000,0.846985000,2.262194000,0.135423000,0.211289263,0.830090665,-0.512679699,-0.058871558
5057200395000,0.847043000,2.261975000,0.135419000,0.211232320,0.830122243,-0.512651117,-0.058879540
5057201642000,0.847102000,2.261755000,0.135415000,0.211175637,0.830155332,-0.512620313,-0.058884551
5057202889000,0.847162000,2.261535000,0.135410000,0.211118757,0.830190020,-0.512587300,-0.058886850
5057204136000,0.847224000,2.261314000,0.135404000,0.211061356,0.830226112,-0.512552536,-0.058886379
5057205383000,0.847287000,2.261092000,0.135398000,0.211003773,0.830263627,-0.512515860,-0.058883034
5057206630000,0.847352000,2.260870000,0.135392000,0.210946252,0.830302565,-0.512477160,-0.058876906
5057207877000,0.847418000,2.260646000,0.135385000,0.210888519,0.830342842,-0.512436643,-0.058868361
5057209124000,0.847486000,2.260422000,0.135378000,0.210830157,0.830384591,-0.512394295,-0.058857142
5057210371000,0.847555000,2.260198000,0.135370000,0.210771283,0.830427715,-0.512350228,-0.058843193
5057211618000,0.847625000,2.259972000,0.135362000,0.210712286,0.830471839,-0.512304834,-0.058826988
5057212865000,0.847697000,2.259746000,0.135354000,0.210652947,0.830516805,-0.512258422,-0.058808850
5057214112000,0.847770000,2.259519000,0.135345000,0.210592660,0.830562672,-0.512211119,-0.058789014
5057215359000,0.847844000,2.259291000,0.135336000,0.210531396,0.830609437,-0.512162990,-0.058767040
5057216606000,0.847920000,2.259062000,0.135327000,0.210469584,0.830657080,-0.512113889,-0.058742954
5057217853000,0.847997000,2.258833000,0.135318000,0.210407115,0.830705569,-0.512063847,-0.058717291
5057219100000,0.848075000,2.258602000,0.135309000,0.210343922,0.830754769,-0.512013109,-0.058690072
5057220347000,0.848155000,2.258371000,0.135300000,0.210280371,0.830804539,-0.511961773,-0.058661121
5057221594000,0.848235000,2.258139000,0.135290000,0.210216467,0.830855044,-0.511909533,-0.058630735
5057222841000,0.848318000,2.257906000,0.135280000,0.210151744,0.830906409,-0.511856404,-0.058598682
5057224088000,0.848401000,2.257672000,0.135271000,0.210085760,0.830958502,-0.511802837,-0.058564476
5057225335000,0.848486000,2.257437000,0.135261000,0.210018730,0.831011177,-0.511748968,-0.058528209
5057226582000,0.848572000,2.257201000,0.135251000,0.209950988,0.831064427,-0.511694606,-0.058490439
5057227829000,0.848660000,2.256964000,0.135240000,0.209882137,0.831118345,-0.511639719,-0.058451551
5057228608000,0.848715000,2.256816000,0.135234000,0.209838658,0.831152251,-0.511605280,-0.058426971
5057229076000,0.848748000,2.256726000,0.135230000,0.209811806,0.831172868,-0.511584530,-0.058411797
5057230323000,0.848837000,2.256485000,0.135220000,0.209739104,0.831228129,-0.511529293,-0.058370270
5057231570000,0.848928000,2.256244000,0.135210000,0.209664587,0.831283898,-0.511474060,-0.058327754
5057232817000,0.849020000,2.256001000,0.135199000,0.209588239,0.831340070,-0.511418990,-0.058284423
5057234064000,0.849113000,2.255758000,0.135189000,0.209510118,0.831396689,-0.511364002,-0.058240137
5057235311000,0.849207000,2.255513000,0.135178000,0.209430062,0.831453752,-0.511309165,-0.058194892
5057236558000,0.849303000,2.255268000,0.135167000,0.209347785,0.831511182,-0.511254723,-0.058148663
